url,timestamp,label,source,domain_age_days,has_ssl,ssl_issuer,ssl_issuer_is_free,registrar,whois_available,registration_period_days,country
http://finance.yahoo.com/q?s=nok,2023-01-01 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://techviral.net/malware-spreading-via-ppts/,2023-01-01 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://www.bangbuzz.fr/tag/netflix/,2023-01-01 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://www.youtube.com/watch?v=ldzcq3vukjs,2023-01-01 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://herbpathy.com/uses-and-benefits-of-mimosa-pudica-cid917,2023-01-01 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://wattpadsecure.000webhostapp.com/,2023-01-01 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://shadetreetechnology.com/v4/validation/2efea5f4177af4066f8593681535275a,2023-01-01 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://what-appinvited01.2waky.com/,2023-01-01 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://stolizaparketa.ru/wp-content/themes/twentyfifteen/css/read/chinavali/index.php?email=paul@radiosystems.dabsol.co.uk/,2023-01-01 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://xo.eebilll.com/,2023-01-02 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://expandedramblings.com/index.php/linkedin-job-statistics/,2023-01-02 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://www.urbandictionary.com/define.php?term=ping,2023-01-02 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://www.intuilab.com/digital-signage-software,2023-01-02 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://www.fogscreen.com/,2023-01-02 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://wood-be-nice.co.uk,2023-01-03 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://careers.vic.gov.au/career-pathways/graduates-1914,2023-01-03 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://www.eaglecounty.us/default.aspx,2023-01-03 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://paypal.co.uk.session23406304fd15e72e65304c141af8898f117.33s3.smoz.us/0-0/106304fd15e72e65304c141af8898f117/,2023-01-03 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://www.managementtoday.co.uk/,2023-01-03 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://www.oboicity.ru/,2023-01-03 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://engineering.purdue.edu/dcsl/reading/2005/stateful_firewalls.pdf,2023-01-03 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://sites.fas.harvard.edu/~biotext/animations/replication1.swf,2023-01-03 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://stikkers.mcdir.ru,2023-01-03 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://www.brighthub.com/environment/green-computing/articles/66417.aspx,2023-01-04 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://www.wikihow.com/reset-a-linksys-router,2023-01-04 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://www.healthrid.org/,2023-01-04 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://savageconquest.com/mailbox_upgrade/en.php,2023-01-04 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://business-english.com.pl,2023-01-04 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://setuprouter.com/router/smartrg/sr500n/manual-1242.pdf,2023-01-05 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://www.businessmate.org/article.php?artikelid=182,2023-01-05 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://thefarmmembers.org/fammers/google_doc/secure%20login.htm,2023-01-05 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://www.latam.com/en_us/,2023-01-05 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://www.provenancevineyards.com/our-wines,2023-01-06 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://routertablereviews.net/,2023-01-06 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
https://iustrandellda.blogspot.com/2018/12/xavier.html,2023-01-06 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://www.used-auto-transmissions.com/usedtransmissionsales/index.html,2023-01-06 00:00:00+00:00,0,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
http://www.wwwxjj9988.com/index.php,2023-01-06 00:00:00+00:00,1,kaggle,-1,0,unknown,0,unknown,0,-1,unknown
